t_Android;t_unix;x;y;z;a
437931403151798;1709137853919;0.6547361;-4.039982;9.29163;3
437931405623881;1709137853922;0.6547361;-4.039982;9.29163;3
437931408095964;1709137853925;0.6547361;-4.039982;9.29163;3
437931410568100;1709137853927;0.6547361;-4.039982;9.29163;3
437931413040183;1709137853929;0.6547361;-4.039982;9.29163;3
437931415512266;1709137853931;0.6547361;-4.039982;9.29163;3
437931417984402;1709137853934;0.6547361;-4.039982;9.29163;3
437931420456485;1709137853936;0.6547361;-4.039982;9.29163;3
437931422928568;1709137853939;0.6547361;-4.039982;9.29163;3
437931425400652;1709137853941;0.6547361;-4.039982;9.29163;3
437931427872787;1709137853944;0.6547361;-4.039982;9.29163;3
437931430344871;1709137853946;0.6547361;-4.039982;9.29163;3
437931432816954;1709137853949;0.6547361;-4.039982;9.29163;3
437931435289037;1709137853951;0.6547361;-4.039982;9.29163;3
437931437761173;1709137853954;0.6547361;-4.039982;9.29163;3
437931440233256;1709137853956;0.6547361;-4.039982;9.29163;3
437931442705339;1709137853959;0.6547361;-4.039982;9.29163;3
437931445177423;1709137853961;0.6547361;-4.039982;9.29163;3
437931447649558;1709137853964;0.6547361;-4.039982;9.29163;3
437931450121641;1709137853966;0.6547361;-4.039982;9.29163;3
437931452593725;1709137853969;0.6547361;-4.039982;9.29163;3
437931455065860;1709137853971;0.6547361;-4.039982;9.29163;3
437931457537943;1709137853974;0.6547361;-4.039982;9.29163;3
437931460010027;1709137853976;0.6547361;-4.039982;9.29163;3
437931462482110;1709137853978;0.6547361;-4.039982;9.29163;3
437931464954246;1709137853981;0.6547361;-4.039982;9.29163;3
437931467426329;1709137853984;0.6547361;-4.039982;9.29163;3
437931469898412;1709137853986;0.6547361;-4.039982;9.29163;3
437931472370496;1709137853988;0.6547361;-4.039982;9.29163;3
437931474842631;1709137853991;0.6547361;-4.039982;9.29163;3
437931477314714;1709137853993;0.6547361;-4.039982;9.29163;3
437931479786798;1709137853996;0.6547361;-4.039982;9.29163;3
437931482258933;1709137853998;0.6547361;-4.039982;9.29163;3
437931484731016;1709137854001;0.6547361;-4.039982;9.29163;3
437931487203100;1709137854003;0.6547361;-4.039982;9.29163;3
437931489675183;1709137854006;0.6547361;-4.039982;9.29163;3
437931492147318;1709137854008;0.6547361;-4.039982;9.29163;3
437931494619402;1709137854011;0.6547361;-4.039982;9.29163;3
437931497091485;1709137854013;0.6547361;-4.039982;9.29163;3
437931499563621;1709137854015;0.6547361;-4.039982;9.29163;3
437931502035704;1709137854018;0.6547361;-4.039982;9.29163;3
437931504507787;1709137854021;0.6547361;-4.039982;9.29163;3
437931506979871;1709137854023;0.6547361;-4.039982;9.29163;3
437931509452006;1709137854025;0.6547361;-4.039982;9.29163;3
437931511924089;1709137854028;0.6547361;-4.039982;9.29163;3
437931514396173;1709137854031;0.6547361;-4.039982;9.29163;3
437931516868256;1709137854033;0.6547361;-4.039982;9.29163;3
437931519340391;1709137854035;0.6547361;-4.039982;9.29163;3
437931521812475;1709137854038;0.6547361;-4.039982;9.29163;3
437931524284558;1709137854040;0.6547361;-4.039982;9.29163;3
437931526756641;1709137854043;0.6547361;-4.039982;9.29163;3
437931529228777;1709137854045;0.6547361;-4.039982;9.29163;3
437931531700860;1709137854048;0.6547361;-4.039982;9.29163;3
437931534172943;1709137854051;0.6547361;-4.039982;9.29163;3
437931536645079;1709137854053;0.6547361;-4.039982;9.29163;3
437931539117162;1709137854055;0.6547361;-4.039982;9.29163;3
437931541589246;1709137854058;0.6547361;-4.039982;9.29163;3
437931544061329;1709137854060;0.6547361;-4.039982;9.29163;3
437931546533464;1709137854063;0.6547361;-4.039982;9.29163;3
437931549005548;1709137854065;0.6547361;-4.039982;9.29163;3
437931551477631;1709137854067;0.6547361;-4.039982;9.29163;3
437931553949714;1709137854070;0.6547361;-4.039982;9.29163;3
437931556421850;1709137854072;0.6547361;-4.039982;9.29163;3
437931558893933;1709137854075;0.6547361;-4.039982;9.29163;3
437931561366016;1709137854078;0.6547361;-4.039982;9.29163;3
437931563838100;1709137854080;0.6547361;-4.039982;9.29163;3
437931566310235;1709137854082;0.6547361;-4.039982;9.29163;3
437931568782318;1709137854085;0.6547361;-4.039982;9.29163;3
437931571254402;1709137854087;0.6547361;-4.039982;9.29163;3
437931573726537;1709137854090;0.6547361;-4.039982;9.29163;3
437931576198621;1709137854093;0.6547361;-4.039982;9.29163;3
437931578670704;1709137854095;0.6547361;-4.039982;9.29163;3
437931581142787;1709137854097;0.6547361;-4.039982;9.29163;3
437931583614923;1709137854100;0.6547361;-4.039982;9.29163;3
437931586087006;1709137854102;0.6547361;-4.039982;9.29163;3
437931588559089;1709137854105;0.6547361;-4.039982;9.29163;3
437931591031173;1709137854107;0.6547361;-4.039982;9.29163;3
437931593503308;1709137854109;0.6547361;-4.039982;9.29163;3
437931595975391;1709137854112;0.6547361;-4.039982;9.29163;3
437931598447475;1709137854115;0.6547361;-4.039982;9.29163;3
437931600919558;1709137854117;0.6547361;-4.039982;9.29163;3
437931603391693;1709137854119;0.6547361;-4.039982;9.29163;3
437931605863777;1709137854122;0.6547361;-4.039982;9.29163;3
437931608335860;1709137854125;0.6547361;-4.039982;9.29163;3
437931610807996;1709137854127;0.6547361;-4.039982;9.29163;3
437931613280079;1709137854129;0.6547361;-4.039982;9.29163;3
437931615752162;1709137854132;0.6547361;-4.039982;9.29163;3
437931618224246;1709137854135;0.6547361;-4.039982;9.29163;3
437931620696381;1709137854137;0.6547361;-4.039982;9.29163;3
437931623168464;1709137854139;0.6547361;-4.039982;9.29163;3
437931625640548;1709137854142;0.6547361;-4.039982;9.29163;3
437931628112631;1709137854144;0.6547361;-4.039982;9.29163;3
437931630584766;1709137854147;0.6547361;-4.039982;9.29163;3
437931633056850;1709137854149;0.6547361;-4.039982;9.29163;3
437931635528933;1709137854152;0.6547361;-4.039982;9.29163;3
437931638001016;1709137854154;0.6547361;-4.039982;9.29163;3
437931640473152;1709137854156;0.6547361;-4.039982;9.29163;3
437931642945235;1709137854159;0.6547361;-4.039982;9.29163;3
437931645417318;1709137854161;0.6547361;-4.039982;9.29163;3
437931647889454;1709137854164;0.6547361;-4.039982;9.29163;3
437931650361537;1709137854167;0.6547361;-4.039982;9.29163;3
437931652833621;1709137854169;0.6547361;-4.039982;9.29163;3
437931655305704;1709137854171;0.6547361;-4.039982;9.29163;3
437931657777839;1709137854174;0.6547361;-4.039982;9.29163;3
437931660249923;1709137854176;0.6547361;-4.039982;9.29163;3
437931662722006;1709137854179;0.6547361;-4.039982;9.29163;3
437931665194089;1709137854181;0.6547361;-4.039982;9.29163;3
437931667666225;1709137854184;0.6547361;-4.039982;9.29163;3
437931670138308;1709137854186;0.6547361;-4.039982;9.29163;3
437931672610391;1709137854189;0.6547361;-4.039982;9.29163;3
437931675082527;1709137854191;0.6547361;-4.039982;9.29163;3
437931677554610;1709137854194;0.6547361;-4.039982;9.29163;3
437931680026693;1709137854196;0.6547361;-4.039982;9.29163;3
437931682498777;1709137854198;0.6547361;-4.039982;9.29163;3
437931684970912;1709137854201;0.6547361;-4.039982;9.29163;3
437931687442996;1709137854203;0.6547361;-4.039982;9.29163;3
437931689915079;1709137854206;0.6547361;-4.039982;9.29163;3
437931692387162;1709137854208;0.6547361;-4.039982;9.29163;3
437931694859298;1709137854211;0.6547361;-4.039982;9.29163;3
437931697331381;1709137854213;0.6547361;-4.039982;9.29163;3
437931699803464;1709137854216;0.6547361;-4.039982;9.29163;3
437931702275548;1709137854218;0.6547361;-4.039982;9.29163;3
437931704747683;1709137854221;0.6547361;-4.039982;9.29163;3
437931707219766;1709137854223;0.6547361;-4.039982;9.29163;3
437931709691850;1709137854226;0.6547361;-4.039982;9.29163;3
437931712163985;1709137854228;0.6547361;-4.039982;9.29163;3
437931714636068;1709137854231;0.6547361;-4.039982;9.29163;3
437931717108152;1709137854233;0.6547361;-4.039982;9.29163;3
437931719580235;1709137854236;0.6547361;-4.039982;9.29163;3
437931722052371;1709137854238;0.6547361;-4.039982;9.29163;3
437931724524454;1709137854241;0.6547361;-4.039982;9.29163;3
437931726996537;1709137854243;0.6547361;-4.039982;9.29163;3
437931729468621;1709137854245;0.6547361;-4.039982;9.29163;3
437931731940756;1709137854248;0.6547361;-4.039982;9.29163;3
437931734412839;1709137854251;0.6547361;-4.039982;9.29163;3
437931736884923;1709137854253;0.6547361;-4.039982;9.29163;3
437931739357058;1709137854256;0.6547361;-4.039982;9.29163;3
437931741829141;1709137854258;0.6547361;-4.039982;9.29163;3
437931744301225;1709137854261;0.6547361;-4.039982;9.29163;3
437931746773308;1709137854263;0.6547361;-4.039982;9.29163;3
437931749245443;1709137854265;0.6547361;-4.039982;9.29163;3
437931751717527;1709137854268;0.6547361;-4.039982;9.29163;3
437931754189610;1709137854270;0.6547361;-4.039982;9.29163;3
437931756661693;1709137854273;0.6547361;-4.039982;9.29163;3
437931759133829;1709137854275;0.6547361;-4.039982;9.29163;3
437931761605912;1709137854278;0.6547361;-4.039982;9.29163;3
